repo,version,asset_file,output_file,external_install
stedolan/jq,,jq-linux64,jq
docker/compose,,docker-compose-Linux-x86_64,docker-compose
mozilla/sops,,sops-$version.linux,sops
derailed/k9s,,k9s_linux_x86_64.tar.gz,k9s,true
sharkdp/fd,,fd-$version-x86_64-unknown-linux-gnu.tar.gz,fd,true
sharkdp/hyperfine,,hyperfine-$version-x86_64-unknown-linux-gnu.tar.gz,hyperfine,true
sharkdp/bat,,bat-$version-x86_64-unknown-linux-gnu.tar.gz,bat,true
XAMPPRocky/tokei,,tokei-x86_64-unknown-linux-gnu.tar.gz,tokei,true
ogham/exa,,exa-linux-x86_64-${version:1}.zip,exa,true
dalance/procs,,procs-$version-x86_64-lnx.zip,procs,true
ClementTsang/bottom,,bottom_x86_64-unknown-linux-gnu.tar.gz,btm,true
BurntSushi/ripgrep,,ripgrep-$version-x86_64-unknown-linux-musl.tar.gz,rg,true
pemistahl/grex,,grex-$version-x86_64-unknown-linux-musl.tar.gz,grex,true
dbrgn/tealdeer,,tldr-linux-x86_64-musl,tldr
norwoodj/helm-docs,,helm-docs_${version:1}_Linux_x86_64.tar.gz,helm-docs,true
gruntwork-io/terragrunt,,terragrunt_linux_amd64,terragrunt
juliosueiras/terraform-lsp,, terraform-lsp_${version:1}_linux_amd64.tar.gz,terraform-lsp,true
rclone/rclone,,rclone-$version-linux-amd64.zip,rclone,true
kubernetes/minikube,,minikube-linux-x86_64,minikube
miguelmota/cointop,,cointop_1.5.5_linux_amd64.tar.gz,cointop,true
tenox7/ttyplot,,ttyplot-amd64-linux,ttyplot
mikefarah/yq,,yq_linux_amd64,yq
denisidoro/navi,,navi-$version-x86_64-unknown-linux-musl.tar.gz,navi,true
ogham/dog,,dog-$version-x86_64-unknown-linux-gnu.zip,dog,true
sharkdp/hexyl,,hexyl-$version-x86_64-unknown-linux-gnu.tar.gz,hexyl,true
kevinschoon/pomo,,pomo-$version-linux-amd64,pomo,
git-lfs/git-lfs,,git-lfs-linux-amd64-$version.tar.gz,git-lfs,true
ytdl-org/youtube-dl,,youtube-dl,youtube-dl
errata-ai/vale,,vale_${version:1}_Linux_64-bit.tar.gz,vale,true
bitwarden/cli,,bw-linux-${version:1}.zip,bw,true
dandavison/delta,,delta-${version}-x86_64-unknown-linux-gnu.tar.gz,delta,true
jarun/nnn,,nnn-nerd-static-${version:1}.x86_64.tar.gz,nnn,true
atanunq/viu,,viu,viu
cli/cli,,gh_${version:1}_linux_amd64.tar.gz,gh,true
profclems/glab,,glab_${version:1}_Linux_x86_64.tar.gz,glab,true
terraform-docs/terraform-docs,,terraform-docs-$version-linux-amd64,terraform-docs
koalaman/shellcheck,,shellcheck-$version.linux.x86_64.tar.xz,shellcheck,true
loadimpact/k6,,k6-$version-linux64.tar.gz,k6,true
